,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260618C00005000,2026-04-23 14:45:09+00:00,5.0,369.19,365.35,369.55,-14.410004,-3.7565181,4.0,9356,6.0312524609375,True,REGULAR,USD
1,TSLA260618C00010000,2026-04-22 18:59:21+00:00,10.0,378.2,360.95,364.8,0.0,0.0,82.0,187,4.994144382324218,True,REGULAR,USD
2,TSLA260618C00015000,2026-04-23 13:43:11+00:00,15.0,365.61,355.9,359.55,-6.6900024,-1.7969387,55.0,60,4.107426740722656,True,REGULAR,USD
3,TSLA260618C00020000,2026-04-23 14:39:24+00:00,20.0,352.85,350.7,354.6,-53.23999,-13.110392,1.0,535,3.7167975830078124,True,REGULAR,USD
4,TSLA260618C00025000,2026-02-23 19:39:01+00:00,25.0,370.06,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
5,TSLA260618C00030000,2026-03-18 17:57:11+00:00,30.0,368.0,369.9,372.2,0.0,0.0,6.0,15,11.082034323730468,True,REGULAR,USD
6,TSLA260618C00035000,2026-04-17 19:16:06+00:00,35.0,366.97,335.85,339.7,0.0,0.0,7.0,63,2.9902368994140627,True,REGULAR,USD
7,TSLA260618C00040000,2026-04-14 14:36:26+00:00,40.0,323.1,331.15,334.7,0.0,0.0,3.0,20,2.810549848632813,True,REGULAR,USD
8,TSLA260618C00045000,2026-03-20 14:27:51+00:00,45.0,327.04,355.05,357.3,0.0,0.0,12.0,15,7.0791027136230475,True,REGULAR,USD
9,TSLA260618C00050000,2026-04-23 14:28:32+00:00,50.0,319.4,322.25,324.85,-36.25,-10.192605,2.0,1178,2.5761754345703123,True,REGULAR,USD
10,TSLA260618C00060000,2026-04-07 13:48:33+00:00,60.0,284.07,311.3,315.15,0.0,0.0,1.0,135,2.43115626586914,True,REGULAR,USD
11,TSLA260618C00070000,2026-03-17 19:07:46+00:00,70.0,328.96,330.2,332.5,0.0,0.0,21.0,248,5.105106157684325,True,REGULAR,USD
