,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260529P00080000,2026-04-22 13:36:52+00:00,80.0,0.01,0.01,0.05,0.0,0.0,1,11,1.6015644921874999,False,REGULAR,USD
1,TSLA260529P00090000,2026-04-20 19:31:20+00:00,90.0,0.05,0.0,0.05,0.0,0.0,6,6,1.453127734375,False,REGULAR,USD
2,TSLA260529P00100000,2026-04-23 16:27:35+00:00,100.0,0.03,0.02,0.06,0.0,0.0,7,2,1.40625296875,False,REGULAR,USD
3,TSLA260529P00110000,2026-04-13 17:49:05+00:00,110.0,0.13,0.02,0.07,0.0,0.0,1,0,1.32422212890625,False,REGULAR,USD
4,TSLA260529P00120000,2026-04-20 13:42:19+00:00,120.0,0.05,0.02,0.07,0.0,0.0,1,1,1.2343788281249999,False,REGULAR,USD
5,TSLA260529P00130000,2026-04-21 19:46:28+00:00,130.0,0.07,0.03,0.06,0.0,0.0,2,5,1.1484417578125,False,REGULAR,USD
6,TSLA260529P00140000,2026-04-22 13:49:46+00:00,140.0,0.08,0.04,0.08,0.0,0.0,1,22,1.1015669921875002,False,REGULAR,USD
7,TSLA260529P00150000,2026-04-23 18:15:06+00:00,150.0,0.07,0.05,0.09,-0.04,-36.363636,3,7,1.0429735351562504,False,REGULAR,USD
8,TSLA260529P00160000,2026-04-22 16:05:50+00:00,160.0,0.12,0.06,0.12,0.0,0.0,1,37,0.99804689453125,False,REGULAR,USD
9,TSLA260529P00170000,2026-04-22 19:40:38+00:00,170.0,0.1,0.08,0.14,0.0,0.0,10,11,0.9511723632812499,False,REGULAR,USD
10,TSLA260529P00180000,2026-04-23 17:00:55+00:00,180.0,0.13,0.11,0.15,-0.010000005,-7.1428604,1,17,0.9023447265625,False,REGULAR,USD
11,TSLA260529P00190000,2026-04-21 17:35:23+00:00,190.0,0.18,0.15,0.18,0.0,0.0,7,17,0.8632826171875,False,REGULAR,USD
12,TSLA260529P00200000,2026-04-23 18:00:42+00:00,200.0,0.21,0.19,0.22,0.019999996,10.526314,159,211,0.8242205078124999,False,REGULAR,USD
13,TSLA260529P00210000,2026-04-23 18:00:41+00:00,210.0,0.25,0.24,0.27,-0.00999999,-3.8461504,21,20,0.78711150390625,False,REGULAR,USD
14,TSLA260529P00220000,2026-04-23 18:25:14+00:00,220.0,0.3,0.29,0.32,0.0,0.0,112,207,0.7465845654296875,False,REGULAR,USD
15,TSLA260529P00230000,2026-04-23 15:24:10+00:00,230.0,0.31,0.35,0.38,-0.050000012,-13.888891,2,32,0.7075224560546876,False,REGULAR,USD
16,TSLA260529P00240000,2026-04-22 18:21:29+00:00,240.0,0.38,0.43,0.45,0.0,0.0,1,172,0.6699251757812501,False,REGULAR,USD
